State,3yr-average-2014-2016
Alabama,16.8
Alaska,11.2
Arizona,18.2
Arkansas,16.8
California,14.5
Colorado,10.2
Connecticut,9.2
Delaware,11.2
District of Columbia,17.3
Florida,15.3
Georgia,16.8
Hawaii,10.3
Idaho,11.9
Illinois,12.2
Indiana,13.3
Iowa,10.1
Kansas,12.5
Kentucky,18.3
Louisiana,20.6
Maine,13.2
Maryland,8.9
Massachusetts,11.6
Michigan,12.9
Minnesota,8.3
Mississippi,20.8
Missouri,11.1
Montana,11.9
Nebraska,10.6
Nevada,13.4
New Hampshire,6.9
New Jersey,10.6
New Mexico,19.1
New York,13.4
North Carolina,15.3
North Dakota,10.5
Ohio,14.3
Oklahoma,15.4
Oregon,12.7
Pennsylvania,12.0
Rhode Island,11.5
South Carolina,15.0
South Dakota,13.7
Tennessee,15.6
Texas,15.0
Utah,9.4
Vermont,9.9
Virginia,10.8
Washington,11.5
West Virginia,17.7
Wisconsin,11.0
Wyoming,10.1